ליגה,Code,Week Day,תאריך,מחזור,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
לאומית,741605,יום רביעי,08-10-2025,1,18:30,אליצור יבנה,168,מכבי גיא נתן חיפה,69,"היכל הספורט ע""ש רלף קליין, רח' הדוגית 22, יבנה",87.0,76.0
לאומית,741602,יום רביעי,08-10-2025,1,19:00,הפועל חיפה נווה שאנן שובל,4153,אליצור שומרון,4083,"היכל הספורט רוממה, חיפה",74.0,79.0
לאומית,741606,יום חמישי,09-10-2025,1,20:30,מכבי אשדוד,7261,א.ס. עירוני אשקלון,920,"מקיף ז', רובע סיטי, רח' העצמאות 62, אשדוד",88.0,92.0
לאומית,741607,יום שישי,10-10-2025,1,13:00,הפועל מגדל העמק-יזרעאל,2267,מ.ס צפת,4818,"ביה""ס יערת העמק, מגדל העמק",90.0,80.0
לאומית,741601,יום שישי,10-10-2025,1,13:15,מ.כ עוטף דרום,12645,א.ס. אשקלון-קרית גת,3043,"מועצה אזורית אשכול, קיבוץ מגן",94.0,87.0
לאומית,741608,יום רביעי,15-10-2025,2,18:00,עירוני נהריה,26,מ.כ עוטף דרום,12645,"היכל הספורט עין שרה, רח' הדבורנית 11, נהריה",95.0,70.0
לאומית,741687,יום רביעי,15-10-2025,11,18:30,מכבי רחובות,75,אליצור שומרון,4083,"אולם ברזילי, רח' יעקב רייפן 6, רחובות",77.0,86.0
לאומית,741610,יום רביעי,15-10-2025,2,19:00,מכבי גיא נתן חיפה,69,מכבי אשדוד,7261,"היכל הספורט רוממה, חיפה",77.0,89.0
לאומית,741609,יום רביעי,15-10-2025,2,19:15,א.ס. עירוני אשקלון,920,הפועל מגדל העמק-יזרעאל,2267,"שד' בן גוריון 37, אשקלון",108.0,98.0
לאומית,741614,יום רביעי,15-10-2025,2,19:30,א.ס. אשקלון-קרית גת,3043,הפועל חיפה נווה שאנן שובל,4153,"רח' אבני החושן, קרית גת",88.0,61.0
לאומית,741615,יום שישי,17-10-2025,2,12:45,א.ס רמה&quot;ש ירק השדה,585,מ.ס צפת,4818,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",89.0,69.0
לאומית,741611,יום שישי,17-10-2025,2,13:00,מכבי מנדל פ&quot;ת,42,אליצור יבנה,168,"אולם רוזמרין, רח' בן גוריון 37, פתח תקווה",91.0,93.0
